Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"2,04381831142401E-09","1,56408869429724E-17","-0,0015",0,0,0,"0,0757356843292425","9,30542487791855E-05","-1,72973378957802E-10","-1,66079077298931E-21","0,000382138338193282","3,43912726365504E-23","0,000475078982714826",0,0,0,0,0,0,package://rover/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://rover/meshes/base_link.STL,,Chassi-1,Origem_Chassi,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LD14P_Link,"0,015195","-9,1663E-05","-0,019909",0,0,0,"0,025443","5,3011E-06","-1,5024E-08","1,2999E-09","8,6464E-06","-1,8484E-08","1,3337E-05",0,0,0,0,0,0,package://rover/meshes/LD14P_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover/meshes/LD14P_Link.STL,,LD14P-1,Origem_LD14P,,LD14P,fixed,"-0,00012702",0,"0,03845",0,0,0,base_link,0,0,0,,,,,,,,,,,,
Mount_Link_FR,"-2,8937E-05","0,0057418","0,00032322",0,0,0,"0,00088951","2,4974E-08","-3,6241E-11","-9,203E-11","6,2294E-08","1,983E-09","5,9248E-08",0,0,0,0,0,0,package://rover/meshes/Mount_Link_FR.STL,"0,44706","0,47451","0,50196",1,0,0,0,0,0,0,package://rover/meshes/Mount_Link_FR.STL,,N20_Mount-5,Origem_Mount_FR,,Mount_FR,fixed,"0,055873","-0,05","-0,0092866",0,0,0,base_link,0,0,0,,,,,,,,,,,,
Motor_Link_FR,"-6,0305E-05","0,026341","0,00088289",0,0,0,"0,0028388","5,2064E-08","8,1692E-12","-2,1321E-10","5,1223E-08","9,4713E-12","5,0388E-08",0,0,0,0,0,0,package://rover/meshes/Motor_Link_FR.STL,"0,79608","0,79608","0,79608",1,0,0,0,0,0,0,package://rover/meshes/Motor_Link_FR.STL,,N20_Motor-5,Origem_Motor_FR,,Motor_FR,fixed,"7,6341E-05","-0,0092","0,0012869",0,0,0,Mount_Link_FR,0,0,0,,,,,,,,,,,,
Wheel_Link_FR,"5,7778E-11","-0,01821","-4,7703E-11",0,0,0,"0,035175","1,5237E-05","2,2092E-14","4,4745E-10","2,5786E-05","-3,1145E-14","1,5237E-05",0,0,0,0,0,0,package://rover/meshes/Wheel_Link_FR.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://rover/meshes/Wheel_Link_FR.STL,,Wheel_65mm-5,Origem_Wheel_FR,Eixo_FR,Wheel_FR,continuous,"-7,6341E-05","0,0084",0,0,0,0,Motor_Link_FR,0,1,0,,,,,,,,,,,,
Mount_Link_FL,"2,89374526260128E-05","-0,00574180489474202","0,000323223503266032",0,0,0,"0,000889511101495515","2,497444539411E-08","-3,6240651239437E-11","9,2029843628899E-11","6,22940092253975E-08","-1,98296057293581E-09","5,92484943284019E-08",0,0,0,0,0,0,package://rover/meshes/Mount_Link_FL.STL,"0,447058823529412","0,474509803921569","0,501960784313725",1,0,0,0,0,0,0,package://rover/meshes/Mount_Link_FL.STL,,N20_Mount-6,Origem_Mount_FL,,Mount_FL,fixed,"0,055873","0,05","-0,0092866",0,0,0,base_link,0,0,0,,,,,,,,,,,,
Motor_Link_FL,"6,03046968803145E-05","-0,0263412887088174","0,000882893673382839",0,0,0,"0,00283879570267248","5,20644968727663E-08","8,16932903691748E-12","2,13211914887738E-10","5,12226271656975E-08","-9,4713293078595E-12","5,03883033851809E-08",0,0,0,0,0,0,package://rover/meshes/Motor_Link_FL.STL,"0,796078431372549","0,796078431372549","0,796078431372549",1,0,0,0,0,0,0,package://rover/meshes/Motor_Link_FL.STL,,N20_Motor-6,Origem_Motor_FL,Axis_Motor_FL,Motor_FL,fixed,"-7,63405011604268E-05","0,00919999999999997","0,00128688689012445",0,0,0,Mount_Link_FL,0,0,0,,,,,,,,,,,,
Wheel_Link_FL,"-7,45820558090138E-11","0,0182100813888","7,17062607208385E-12",0,0,0,"0,035174698582227","1,52366268256632E-05","3,76506163752978E-14","-2,1550742782768E-10","2,57857822002641E-05","6,3766971496481E-15","1,52375222771183E-05",0,0,0,0,0,0,package://rover/meshes/Wheel_Link_FL.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://rover/meshes/Wheel_Link_FL.STL,,Wheel_65mm-6,Origem_Wheel_FL,Eixo_FL,Wheel_FL,continuous,"7,63405011604476E-05","-0,00840000000000002",0,0,0,0,Motor_Link_FL,0,-1,0,,,,,,,,,,,,
Mount_Link_BL,"2,89374526260197E-05","-0,00574180489474202","0,000323223503266031",0,0,0,"0,000889511101495515","2,497444539411E-08","-3,62406512394373E-11","9,20298436289031E-11","6,22940092253975E-08","-1,98296057293581E-09","5,92484943284018E-08",0,0,0,0,0,0,package://rover/meshes/Mount_Link_BL.STL,"0,447058823529412","0,474509803921569","0,501960784313725",1,0,0,0,0,0,0,package://rover/meshes/Mount_Link_BL.STL,,N20_Mount-1,Origem_Mount_BL,,Mount_BL,fixed,"-0,056127","0,05","-0,0092866",0,0,0,base_link,0,0,0,,,,,,,,,,,,
Motor_Link_BL,"-6,030459023839E-05","-0,0263412887982114","-0,000882893768063883",0,0,0,"0,00283879567406719","5,20644961834455E-08","-8,16930221775181E-12","2,13211883274157E-10","5,12226271617704E-08","9,4712344391227E-12","5,03883026605782E-08",0,0,0,0,0,0,package://rover/meshes/Motor_Link_BL.STL,"0,796078431372549","0,796078431372549","0,796078431372549",1,0,0,0,0,0,0,package://rover/meshes/Motor_Link_BL.STL,,N20_Motor-1,Origem_Motor_BL,Axis_Motor_BL,Motor_BL,fixed,"7,63405011606419E-05","0,00919999999999999","0,0012863796207111",0,0,0,Mount_Link_BL,0,0,0,,,,,,,,,,,,
